Title,Authors,PublicationType,URL,KeyFindings,Abstract
Association between diet during preadolescence and adolescence and risk for breast cancer during adulthood.,Mahabir,"Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/23298994/,"Only a few epidemiologic studies have been conducted on the relationship between diet during preadolescence and adolescence, and cancer during adulthood. Research on preadolescent and adolescent diet is a paradigm shift in breast cancer investigations. This research paradigm has the potential to produce transformative knowledge.","It is increasingly evident that diet during preadolescence and adolescence has important consequences for breast cancer during adulthood. However, only a few epidemiologic studies have been conducted on the relationship between diet during preadolescence and adolescence, and cancer during adulthood. This situation is partly because of methodological challenges such as the long latency period, the complexity of breast cancer, the lack of validated diet assessment tools, and the large number of subjects that must be followed, all of which increase costs. In addition, funding opportunities are few for such studies. Results from the small number of epidemiologic studies are inconsistent, but evidence is emerging that specific aspects of the diet during preadolescence and adolescence are important. For example, during preadolescence and adolescence, severe calorie restriction with poor food quality, high total fat intake, and alcohol intake tend to increase risk, whereas high soy intake decreases risk. Research on preadolescent and adolescent diet is a paradigm shift in breast cancer investigations. This research paradigm has the potential to produce transformative knowledge to inform breast cancer prevention strategies through dietary intervention during preadolescence and adolescence, rather than later in life, as is current practice, when it is perhaps less effective. Methodological challenges that have plagued the field might now be overcome by leveraging several existing large-scale cohort studies in the U.S. and around the world to investigate the role of diet during preadolescence and adolescence in risk for adult breast cancer."
Breast Cancer.,Miller,Journal Article,https://pubmed.ncbi.nlm.nih.gov/7237367/,Breast cancer is the most prevalent cancer of women in North America. Evidence is being obtained to support the role of dietary risk factors. Overweight as a risk factor in postmenopausal women also points to the importance of dietary factors.,"The pre-eminence of breast cancer as a significant cause of premature mortality and as the most prevalent cancer of women in North America justifies a major thrust in prevention. In the past, a number of hormonal risk factors were identified. Increasingly, evidence is being obtained to support the role of dietary risk factors and most particularly the total level of dietary fat. Overweight as a risk factor in postmenopausal women also points to the importance of dietary factors. It is concluded that the time is ripe for an active program of evaluating the effect of reduction in the consumption of total fat, particularly in adolescent, early adult and premenopausal women, and in reducing overweight in postmenopausal women, both as aspects of national policy and as special investigations in defined population groups."
"Physical activity and breast cancer risk: impact of timing, type and dose of activity and population subgroup effects.","Friedenreich, Cust","Journal Article, Research Support, Non-U.S. Gov't, Review",https://pubmed.ncbi.nlm.nih.gov/18487249/,"A review of all published literature to September 2007 was conducted using online databases. Evidence for a risk reduction associated with increased physical activity was found in 47 (76%) of 62 studies. Stronger decreases in risk were observed for recreational activity, lifetime or later life activity, vigorous activity, among postmenopausal women, women with normal BMI, non-white racial groups.","To review (1) the epidemiological literature on physical activity and the risk of breast cancer, examining the effect of the different parameters of activity and effect modification within different population subgroups; and (2) the biological mechanisms whereby physical activity may influence the risk of breast cancer. A review of all published literature to September 2007 was conducted using online databases; 34 case-control and 28 cohort studies were included. The impact of the different parameters of physical activity on the association between activity and the risk of breast cancer was examined by considering the type of activity performed, the timing of activity over the life course and the intensity of activity. Effect modification of this association by menopausal status, body mass index (BMI), racial group, family history of breast cancer, hormone receptor status, energy intake and parity were also considered. Evidence for a risk reduction associated with increased physical activity was found in 47 (76%) of 62 studies included in this review with an average risk decrease of 25-30%. A dose-response effect existed in 28 of 33 studies. Stronger decreases in risk were observed for recreational activity, lifetime or later life activity, vigorous activity, among postmenopausal women, women with normal BMI, non-white racial groups, those with hormone receptor negative tumours, women without a family history of breast cancer and parous women. The effect of physical activity on the risk of breast cancer is stronger in specific population subgroups and for certain parameters of activity that need to be further explored in future intervention trials."
Breast cancer awareness among pharmacy and physiotherapy students of medical university Nawabshah.,"Irfan, Memon, Umrani, Soomro",Journal Article,https://pubmed.ncbi.nlm.nih.gov/35157667/,"Cross-sectional study was conducted at People's University of Medical and Health Sciences for Women, Nawabshah, Pakistan. Data was collected using a predesigned questionnaire, and was analysed using SPSS 21. Of the 450 students approached, 375(84%) completed the questionnaire.","To evaluate the knowledge and awareness of students at a medical university regarding possible risk factors and screening modalities of breast cancer. The cross-sectional study was conducted from January to April 2019 at the People's University of Medical and Health Sciences for Women, Nawabshah, Pakistan, and comprised young female students from first year to final year at the Institute of Pharmaceutical Sciences and the Institute of Physiotherapy and Rehabilitation Sciences of the university. Data was collected using a predesigned questionnaire, and was analysed using SPSS 21. Of the 450 students approached, 375(84%) completed the questionnaire. The mean age of the participants was 21.06Â±1.164 years (range: 18-26 years). Overall, 225(60%) students said contraceptive pills could increase the risk of breast cancer, 267(71.2%) agreed that breast-feeding could reduce cancer risk, while 361 (96.27%) students had good mammography and clinical breast examination knowledge. Also, 308(82.13%) respondents knew about breast self-examination, but were not aware of its procedure. Majority of the subjects had knowledge and awareness about breast cancer, its risk factors, diagnostic parameters and possible treatment options, but they did not have knowledge regarding the procedures of breast self-examination."
Physical Activity in Young BRCA Carriers and Reduced Risk of Breast Cancer.,"Bucy, Valencia, Howe, Larkin, Conard, Anderlik, Valdivi, Bea","Systematic Review, Journal Article, Research Support, N.I.H., Extramural",https://pubmed.ncbi.nlm.nih.gov/35738959/,"A systematic literature review was conducted to determine whether physical activity levels during adolescent and young adult years were associated with a reduced lifetime risk of breast cancer. Ovid/MEDLINE, Embase, CENTRAL, WOS, and CINAHL were searched for articles. A total of 1,957 unique articles were identified.","A systematic literature review was conducted to determine whether physical activity levels during adolescent and young adult years were associated with a reduced lifetime risk of breast cancer among carriers of deleterious mutations in BRCA1 and BRCA2 genes. Ovid/MEDLINE, Embase, CENTRAL, WOS, and CINAHL were searched for articles including information about adolescent and young adult physical activity and breast cancer incidence among women carrying deleterious BRCA1 and BRCA2 gene mutations (search was initiated in October 2019; last update and full analyses were in March 2021). Independent reviewers screened articles at the title/abstract and full-text levels, resolving differences by consensus with lead authors. The NIH Quality Assessment Tools were used to assess sources of bias. A total of 1,957 unique articles were identified; 5 met inclusion criteria. Samples size ranged from 68 to 1,185. All studies relied on self-reported adolescent and young adult physical activity. One study measured sports involvement; the others measured recreational activity. One large study was null, whereas 4 others showed a reduction in breast cancer incidence later in life with higher adolescent and young adult physical activity (pâ‰¤0.05). However, the protection was limited to premenopausal breast cancer in 1 of the studies (OR=0.62; 95% CI=0.40, 0.96; p-trend=0.01). In addition, adolescent and young adult physical activity was associated with older age at breast cancer diagnosis in 1 study (p=0.03). A limited number of studies suggest that adolescent and young adult physical activity may reduce or delay the risk of breast cancer incidence among carriers of deleterious mutations in BRCA1 and BRCA2 genes."
"Knowledge, Attitudes, Behavior, and Practices of Self-Breast Examination in Jalisco, Mexico.","Franco, Sevilla, Herrera, CastaÃ±eda, Sunil",Journal Article,https://pubmed.ncbi.nlm.nih.gov/33954934/,"The importance of self-breast examination to identify early signs of breast cancer has been widely discussed in scientific literature. We conducted a cross-sectional survey of women aged 18 years and over (n = 547) living in urban and rural areas in the State of Jalisco, Mexico. We found some difference in these measures between women in 18-39 years and 40+ years.","The importance of self-breast examination to identify early signs of breast cancer has been widely discussed in scientific literature. We conducted a cross-sectional survey of women aged 18 years and over (n = 547) living in urban and rural areas in the State of Jalisco, Mexico. Survey questions included measures on knowledge, attitudes, behaviors, and practices related to self-breast examination. We compared these measures between women living in urban and rural areas and women aged 18-39 years and 40+ years. Using t-test, we tested the significance of these differentials. Our results indicate that there is no significant difference in knowledge, attitudes, behavior, and practices regarding self-breast examination between women living in urban and in rural areas of Jalisco. However, we found some difference in these measures between women in 18-39 years and 40+ years. While the State of Jalisco has taken significant steps toward promoting significance of cancer prevention, further attention to women in the older cohort is recommended."
Preventative Health and Risk Behaviors Among Adolescent Girls With and Without Family Histories of Breast Cancer.,"Schwartz, Henry-Moss, Egleston, Patrick-Miller, Markman, Daly, Tuchman, Moore, Rauch, Karpink, Sands, Domchek, Bradbury","Comparative Study, Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/30301677/,"To compare health behaviors (smoking, alcohol use, fruit and vegetable intake, and exercise frequency) and breast self-exam (BSE) between girls with breast cancer family history (BCFH+) and without. A total of 208 BCFH+ girls (11-19 years old) with first- or second-degree relatives with breast Cancer or a mother with a BRCA1/2 mutation reported their health behaviors, beliefs, and psychosocial function.","To compare health behaviors (smoking, alcohol use, fruit and vegetable intake, and exercise frequency) and breast self-exam (BSE) between girls with breast cancer family history (BCFH+) and without (BCFH-) and assess associates of behaviors across all girls. A total of 208 BCFH+ girls (11-19 years old), with first- or second-degree relatives with breast cancer or a mother with a BRCA1/2 mutation, and 112 BCFH- peers reported their health behaviors, beliefs, and psychosocial function. Despite higher BCFH+ girls' greater perceived breast cancer risk, there were no differences between BCFH+ and BCFH- girls on diet, exercise, alcohol initiation, or BSE. BCFH+ girls were slightly more likely to report trying cigarettes (11% vs. 5%, p = .04). In multivariable models with all girls, categorical associations with behaviors included the following: developmental and demographic factors with smoking, alcohol, diet, and exercise; family breast cancer history and experience with smoking, alcohol, and diet; psychosocial factors with smoking; girls perceptions of cancer controllability and mother support for health behaviors with alcohol, diet, exercise, and BSE; and mother behaviors with diet. Adolescent girls from BCFH+ families reported similar health behaviors to BCFH- peers, signaling that they are not translating their higher perceived risk into cancer control behaviors. Both uncontrollable (i.e., breast cancer experiences) and modifiable factors relate to health behaviors and warrant further investigation. Results indicate that interventions with teens and parents that target modifiable variables such as controllability perceptions, maternal modeling, and communication may relate to better health behaviors and reduced future breast cancer risk."
Modifiable Risk Factors for the Development of Breast Cancer in Young Women.,"Cathcart-Rake, Ruddy, Johnson","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/30480572/,"Breast cancer is the most common malignancy among adolescents and young adults (AYAs) women aged 15 to 39 years at diagnosis. A literature review was conducted to report upon associations between modifiable lifestyle factors and breast cancer risk. Higher levels of physical activity, lower red meat intake, and higher intake of plants appear to decrease the risk of developing AYA breast cancer.","Breast cancer is the most common malignancy among adolescents and young adults (AYAs) women aged 15 to 39 years at diagnosis. An improved understanding of modifiable factors that mitigate the risks of the development of breast cancer may allow for future strategies to reduce the incidence of AYA breast cancer. A literature review was conducted to report upon associations between modifiable lifestyle factors and breast cancer risk. Higher levels of physical activity, lower red meat intake, and higher intake of plants appear to decrease the risk of developing AYA breast cancer, whereas associations between obesity and AYA breast cancer risk were less straightforward. Further research, ideally in large prospective trials, is needed to truly understand modifiable risk factors for the development of AYA breast cancer."
Bilateral Oophorectomy and Breast Cancer Risk in BRCA1 and BRCA2 Mutation Carriers.,"Kotsopoulos, Huzarski, Gronwald, Singer, Moller, Lynch, Armel, Karlan, Foulkes, Neuhausen, Senter, Tung, Weitzel, Eisen, Metcalfe, Eng, Pal, Evans, Sun, Lubinski, Narod,",Journal Article,https://pubmed.ncbi.nlm.nih.gov/27601060/,Oophorectomy was not associated with breast cancer risk among women with a BRCA1 or BRC a2 mutation. The effect of oophorecomy was statistically significant for breast cancer in BRCa2 mutation carriers diagnosed prior to age 50 years. Findings from this large prospective study support a role of ophorecism for the prevention of premenopausal breast cancer.,"Whether oophorectomy reduces breast cancer risk among BRCA mutation carriers is a matter of debate. We undertook a prospective analysis of bilateral oophorectomy and breast cancer risk in BRCA mutation carriers. Subjects had no history of cancer, had both breasts intact, and had information on oophorectomy status (n = 3722). Women were followed until breast cancer diagnosis, prophylactic bilateral mastectomy, or death. A Cox regression model was used to estimate the hazard ratios (HRs) and 95% confidence intervals (CIs) of breast cancer associated with oophorectomy (coded as a time-dependent variable). All statistical tests were two-sided. Over a mean follow-up of 5.6 years, 350 new breast cancers were diagnosed. Among women with a BRCA1 or BRCA2 mutation, oophorectomy was not associated with breast cancer risk compared with women who did not undergo an oophorectomy. The age-adjusted hazard ratio associated with oophorectomy was 0.96 (95% CI = 0.73 to 1.26, P = 76) for BRCA1 and was 0.65 (95% CI = 0.37 to 1.16, P = 14) for BRCA2 mutation carriers. In stratified analyses, the effect of oophorectomy was statistically significant for breast cancer in BRCA2 mutation carriers diagnosed prior to age 50 years (age-adjusted HR = 0.18, 95% CI = 0.05 to 0.63, P = 007). Oophorectomy was not associated with risk of breast cancer prior to age 50 years among BRCA1 mutation carriers (age-adjusted HR = 0.79, 95% CI = 0.55 to 1.13, P = 51). Findings from this large prospective study support a role of oophorectomy for the prevention of premenopausal breast cancer in BRCA2, but not BRCA1 mutation carriers. These findings warrant further evaluation."
Improving knowledge about breast cancer and breast self examination in female Nigerian adolescents using peer education: a pre-post interventional study.,"Sadoh, Osime, Nwaneri, Ogboghodo, Eregie, Oviawe",Journal Article,https://pubmed.ncbi.nlm.nih.gov/34507568/,"Pre-post interventional study carried out in October -December 2016 on female students of four secondary schools in Benin City. Pre-peer training, using a pre-tested self-administered questionnaire, knowledge about BC and BSE was assessed.","Prevention of BC of which the cornerstone is creating awareness and early detection is important in adolescents and young women because of their worse outcomes. Early detection strategies such as mammography are currently beyond the reach of most women in sub-Saharan Africa.. Lack of awareness and late presentation contribute to the poor outcomes. Awareness creation among adolescents may result in modification of some risk factors for BC with adoption of healthy life styles including accessing early detection activities. This study determined the effect of peer education as a strategy to create awareness on BC and breast self examination (BSE) among in-school female adolescents in Benin City. This was a pre-post interventional study carried out in October -December 2016 on female students of four secondary schools in Benin City. Pre-peer training, using a pre-tested self-administered questionnaire, knowledge about BC and BSE was assessed in about 30% of each school population. This was followed by training of 124 students selected from the schools (one student per class) as peer trainers. The peer trainers provided training on BC and BSE (the intervention) for their classmates. Within two weeks of peer training knowledge about BC and BSE was reassessed in 30% of each school population. Selection of students for assessment pre and post intervention was by systematic sampling. Correct knowledge was scored and presented as percentages. Chi square test, student t test and ANOVA were used to assess associations and test differences with level of significance set at p < 0.05. There were 1337 and 1201 students who responded to the pre and post-training questionnaires respectively. The mean BC knowledge score (20.61 Â± 13.4) prior to training was low and it statistically significantly improved to 55.93 Â± 10.86 following training p < 0.0001 Following peer training, statistically significant improvement (p 0.037- < 0.001) occurred in most knowledge domains apart from symptomatology. Pre-peer training 906(67.8%) students knew about BSE but only 67(4.8%). Significantly more students 1134(94.7%) knew about BSE following peer training. Peer education strategy can be used to improve BC and BSE knowledge in adolescents. This strategy is low cost and could be very useful in low resource settings."
