Title,Authors,PublicationType,URL,KeyFindings,Abstract
Physical activity in adolescence and young adulthood and breast cancer risk: a quantitative review.,"Lagerros, Hsieh, Hsieh","Journal Article, Research Support, Non-U.S. Gov't, Review",https://pubmed.ncbi.nlm.nih.gov/15075782/,Physical activity in 12-24-year-old females significantly reduces risk of breast cancer. Each one-hour increase of recreational physical activity/week during adolescence was associated with a 3% (95% CI 0-6%) risk reduction.,"Physical activity habits are potentially modifiable and could therefore be targeted in a primary prevention strategy against breast cancer, provided there is causality and a sufficiently strong relationship. Our objective of this quantitative review was to provide a summary estimate of the association of moderate/vigorous recreational physical activity during adolescence/young adulthood with breast cancer risk, and to determine whether a dose-response relationship exists. Data sources included studies in humans relating physical activity to breast cancer risk, published between January 1966 and October 2002, identified on Medline, the Web of Science, from reference lists and related reviews. The main characteristics of each study, the point estimates of relative risk (RR) and confidence intervals (CI) were extracted from 19 case-control and four cohort studies. Comparing the highest to the lowest category of physical activity, the summary RR from the random effects model was 0.81 (95% CI 0.73-0.89). This almost 20% risk reduction proved to be fairly consistent, despite variation in populations and methods. Each one-hour increase of recreational physical activity/week during adolescence was associated with a 3% (95% CI 0-6%) risk reduction. Physical activity in 12-24-year-old females significantly reduces risk of breast cancer. Heterogeneity may be explained by different methods to measure activity."
Identifying opportunities for cancer prevention during preadolescence and adolescence: puberty as a window of susceptibility.,"Biro, Deardorff","Journal Article, Research Support, N.I.H., Extramural, Review",https://pubmed.ncbi.nlm.nih.gov/23601607/,"Epidemiologic studies document an association between exposures at critical windows of susceptibility with outcomes as diverse as childhood and adult obesity, timing of menarche, and risk for hypertension or breast cancer. The long-term sequela of responses to early exposures may impact other adult morbidities.","Early life exposures during times of rapid growth and development are recognized increasingly to impact later life. Epidemiologic studies document an association between exposures at critical windows of susceptibility with outcomes as diverse as childhood and adult obesity, timing of menarche, and risk for hypertension or breast cancer. This article briefly reviews the concept of windows of susceptibility for providers who care for adolescent patients. The theoretical bases for windows of susceptibility is examined, evaluating the relationship between pubertal change and breast cancer as a paradigm, and reviewing the underlying mechanisms, such as epigenetic modification. The long-term sequela of responses to early exposures may impact other adult morbidities; addressing these exposures represents an important challenge for contemporary medicine."
"The menopause, hormone replacement therapy and breast cancer.",Marsden,"Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/12650709/,Concern exists that the reduction in breast cancer risk associated with the onset of the menopause will be negated with exposure to hormone replacement therapy (HRT) Evidence from large-scale randomised HRT trials support observational data. HRT has not been associated conclusively with a predominance of hormone sensitive breast cancer.,"Concern exists that the reduction in breast cancer risk associated with the onset of the menopause will be negated with exposure to hormone replacement therapy (HRT). Evidence from large-scale randomised HRT trials support observational data that have shown a modest increase in breast cancer risk with long-term use (i.e. >15 years) of combined therapy, although this falls following HRT cessation suggesting a growth-promoting effect. Randomised evidence demonstrates that the efficacy of anti-estrogens, aromatase inhibitors and raloxifene in the treatment and chemoprevention of breast cancer are restricted to women with oestrogen receptor positive (ER +ve) disease; however, HRT has not been associated conclusively with a predominance of hormone sensitive breast cancer. Despite stimulating the breast cancer cell growth, HRT has not been shown to increase breast cancer recurrence or mortality when prescribed to breast cancer survivors experiencing oestrogen deficiency symptoms and randomised trials have been recommended and commenced. In conjunction with controlled breast cancer trials demonstrating a therapeutic benefit of high dose estrogens and interest in the use of additive oestrogen therapy in patients developing resistance to oestrogen deprivation, the dogma that HRT is an absolute contra-indication following diagnosis is challenged."
Menstrual cycling and breast cancer: an evolutionary perspective.,Strassmann,"Journal Article, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S., Review",https://pubmed.ncbi.nlm.nih.gov/10100133/,"This article attempts to bridge the disciplinary gap between evolutionary biology and clinical studies of women's health. The specific focus is on the relationship between breast cancer and exposure to ovarian hormones during normal menstrual cycling. This point is illustrated by data on the Dogon of Mali, a traditional West African population.","This article attempts to bridge the disciplinary gap between evolutionary biology and clinical studies of women's health. The resulting dialogue is predicted to have useful implications for research aimed at the prevention of women's reproductive cancers. The specific focus is on the relationship between breast cancer and exposure to ovarian hormones during normal menstrual cycling. The clinician's view of normal cycling is radically different from that uncovered by evolutionary studies of noncontracepting populations. This point is illustrated by data on the Dogon of Mali, a traditional West African population with a mean of 8.6 +/- 0.3 live births per woman. The Dogon data include hormonal profiles (urinary estrone-3-glucuronide and pregnanediol-3-glucuronide) of 93 women (sampled twice weekly for 10 weeks) and a census of women's visits to menstrual huts (n = 736 days). Dogon women menstruated regularly only if they were sterile. Otherwise, women aged 20-34 years had a median of only two menses each over the 2-year study period. The median number of menses per lifetime was approximately 100, about a third as many as experienced by an American woman who had three live births. These results contribute to a growing body of evidence that women's bodies were designed by natural selection to spend most of the time in lactational amenorrhea and add support to the view that contraceptives can be made safer if they forego the hormonal swings associated with menstruation. This conclusion is further reinforced by evidence that menstrual bleeding serves no adaptive purpose."
"[Secondary cancers: Incidence, risk factors and recommendations].","Demoor-Goldschmidt, Fayech, Girard, Plantaz","English Abstract, Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/25911942/,"Cure rates for most childhood cancers and adolescents have made remarkable progress. The development of secondary malignancies has become an important question for these patients. The frequency is low, but the risk is significantly higher (between 3 and 10 times)","Cure rates for most childhood cancers and adolescents have made remarkable progress over the last thirty to forty years. The development of secondary malignancies has become an important question for these patients. The frequency is low, but the risk is significantly higher (between 3 and 10 times) and it is the leading cause of long-term mortality off relapse. In this literature review, we discuss the epidemiological aspect and the risk factors contributing to this increased risk, and conclude with a summary of current recommendations for screening and surveillance. We also discuss briefly the constitutional predisposing genetic contributions to other cancers."
Benign breast disorders.,"Santen, Mansel","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/16034013/,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,
Prospects for the primary prevention of breast cancer.,"Bernstein, Ross, Henderson","Journal Article, Research Support, U.S. Gov't, P.H.S., Review",https://pubmed.ncbi.nlm.nih.gov/1311141/,"The goal is to reduce the number of ovulatory menstrual cycles a woman experiences in order to reduce her exposure to estrogen and progesterone. Physical activity during adolescence is proposed as a nonhormonal method of accomplishing this. Tamoxifen, which is effective in breast cancer therapy, provides endocrine control of estrogen-regulated breast tumor growth.","In this paper, the rationale, stage of development, and known or potential adverse effects of three potential strategies for the prevention of breast cancer are reviewed. Two methods--the use of tamoxifen in postmenopausal women and the use of luteinizing hormone (LH)-releasing hormone agonists in premenopausal women--involve hormonal manipulation. In the premenopausal period, the goal is to reduce the number of ovulatory menstrual cycles a woman experiences in order to reduce her exposure to estrogen and progesterone. Physical activity during adolescence is proposed as a nonhormonal method of accomplishing this. The use of LH-releasing hormone agonists to produce a reversible menopause can also reduce a woman's cumulative exposure to ovarian steroid hormones. Tamoxifen, which is effective in breast cancer therapy, provides endocrine control of estrogen-regulated breast tumor growth. Breast cancer chemoprevention trials using tamoxifen among postmenopausal women have been proposed, and pilot studies are under way."
[Vitamin D and breast cancer: is there a link?].,"Stoll, Akladios, Mathelin","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/23562418/,"The sun exposure, via the skin vitamin D synthesis, is associated with a decreased risk of breast cancer. An inverse relationship between plasma 25-hydroxyvitamin D (25-OH-D) level and breast cancer risk has been suggested. Recommendations concerning a vitamin D supplementation could be established.","The aim of this review is to know the relationship between breast cancer and vitamin D, synthesised by skin or brought by food or supplementation. The selected articles were extracted from the Pubmed database between 1998 and 2012. The keywords used were: ""25-hydroxyvitamin D"", ""breast cancer recurrence"", ""breast cancer risk"", ""serum levels of vitamin D"", ""vitamin D intake"". A total of 37 articles were selected. The sun exposure, via the skin vitamin D synthesis, is associated with a decreased risk of breast cancer. This decrease seems also likely for food contributions and an over 400IU per day vitamin D supplementation. An inverse relationship between plasma 25-hydroxyvitamin D (25-OH-D) level and breast cancer risk has been suggested. An increased 25-OH-D level seems associated with a decreased risk of breast cancer recurrence. Recommendations concerning a vitamin D supplementation could be established, but should be supported by additional studies."
The role of body size and physical activity on the risk of breast cancer in BRCA mutation carriers.,"Pettapiece-Phillips, Narod, Kotsopoulos","Journal Article, Research Support, Non-U.S. Gov't, Review",https://pubmed.ncbi.nlm.nih.gov/25579073/,"Women who inherit a BRCA mutation face a high lifetime risk of developing breast cancer. Given the high penetrance of these mutations, prevention is of extreme importance. There is some evidence to support a protective role of a healthy body size.","Women who inherit a BRCA mutation face a high lifetime risk of developing breast cancer. Given the high penetrance of these mutations, prevention is of extreme importance. Here, we review the literature regarding the role of body size and of physical activity in the context of BRCA-associated breast cancer. There is some evidence to support a protective role of a healthy body size and of regular physical activity among mutation carriers, particularly during adolescence or early adulthood. Factors which increase the physiologic expression of the normal copy of the BRCA1 or BRCA2 gene and thereby normalize protein levels, contribute to stem cell homeostasis, and/or affect hormone levels, might mitigate the effects of an inherited BRCA mutation. Preliminary evidence from one in vivo study and from one epidemiologic report suggests that an increase in BRCA1 mRNA expression occurs with increasing levels of physical activity. The prospect of changing lifestyle for the purpose of preventing breast cancer in high-risk women, complemented by mechanistic evidence, warrants evaluation in large-scale prospective studies."
Physical Activity and Risk of Breast Cancer: A Meta-Analysis of 38 Cohort Studies in 45 Study Reports.,"Chen, Wang, Zhang, Xie, Tan","Journal Article, Meta-Analysis, Systematic Review",https://pubmed.ncbi.nlm.nih.gov/30661625/,A systematic review meta-analysis was conducted. The literature was independently and manually searched by 2 reviewers through 3 English databases. The quality of included studies was assessed by the Newcastle-Ottawa Quality Assessment Scale. Fixed-effects models were used to estimate the pooled relative risk.,"To evaluate and quantify the association between physical activity (PA) and risk of breast cancer. A systematic review meta-analysis was conducted. The literature was independently and manually searched by 2 reviewers through 3 English databases (PubMed, Embase, and ISI Web of Science) for data till October 2017. The quality of included studies was assessed by the Newcastle-Ottawa Quality Assessment Scale. Fixed-effects models were used to estimate the pooled relative risk and 95% confidence intervals (95% CI). Dose-response analysis was chosen for quantifying the association between PA and risk of breast cancer. The Begg test and the Egger test were used to estimate potential publication bias. Heterogeneity between studies was evaluated with I<sup>2</sup> statistics. The meta-analysis included 38 cohort studies published between 1994 and 2017, which included 68 416 breast cancer cases. The overall relative risk (ORR) for breast cancer was 0.87 (95% CI 0.84-0.90). The inverse association was consistent among all subgroup analyses. In subgroup analysis by menopausal status, the ORR of breast cancer was 0.83 (95% CI 0.79-0.87) for premenopausal status and 0.91 (95% CI 0.85-0.97) for postmenopausal status. In subgroup analysis by PA type, the ORR for total activity was 0.87 (95% CI 0.81-0.93), for recreational activity 0.88 (95% CI 0.85-0.91), for occupational activity 0.91 (95% CI 0.84-0.99), and for nonoccupational activity 0.87 (95% CI 0.83-0.92). The risk of breast cancer was significantly lower in people with exposure periods longer than 1 year and less than 5 years (ORR 0.62; 95% CI 0.46-0.78), followed by those with lifetime activity (ORR 0.81; 95% CI 0.69-0.93). The ORR for subjects with body mass index of less than 25 kg/m<sup>2</sup> (0.88; 95% CI 0.83-0.93) was close to that for subjects with body mass index of more than 25 kg/m<sup>2</sup> (0.87; 95% CI 0.77-0.97). A linear relationship was found between breast cancer risk and PA (recreational activity and total activity), and the ORR was reduced by 3% (95% CI 0.95-0.99) for every 10 metabolic equivalent of energy hours per week increment in recreational PA and by 2% (95% CI 0.97-0.99) for every 10 metabolic equivalent of energy hours per week increment in total PA. PA is significantly associated with a decrease in the risk of breast cancer."
Emerging worldwide trends of breast cancer incidence in the 1970s and 1980s: data from 23 cancer registration centres.,Gjorgov,"Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/8287006/,"The aim of the study was to estimate the change in breast cancer incidence around the world in the last two decades. This was done by examining data from 23 registries worldwide. The results are discussed in these terms, and alternative actions for the prevention of the epidemic extent of breast cancer are suggested.","The aim of the study was to estimate the change in breast cancer incidence around the world in the last two decades, to investigate a hypothesized rise (of epidemic proportions) in incidence of the disease, and to assess the potential for its prevention. This was done by examining data from 23 registries worldwide. The anticipated widespread and epidemic proportions of the increases in breast cancer incidence were consistent with the proposed hypothesis. The results are discussed in these terms, and alternative actions for the prevention of the epidemic extent of breast cancer in the community are suggested."
[Hormone therapy and breast cancer: a review].,Lucchi-Angellier,"Comparative Study, English Abstract, Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/11794892/,"Tamoxifen as adjuvant hormonal therapy after hormonosensitive-breast cancer surgery is well established nowadays. Research of drugs which could be effective, with little toxicity, and having a positive impact on cardiovascular disease or bone is an important issue.","Tamoxifen as adjuvant hormonal therapy after hormonosensitive-breast cancer surgery is well established nowadays, as well as its efficacy in first-line therapy of advanced hormonosensitive breast cancers. Research of drugs which could be effective, with little toxicity, and having a positive impact on cardiovascular disease or bone is an important issue. New drugs are in development or will soon be on the market to permit second or third lines of treatment with respect to effectiveness and quality of life, such as new anti-estrogens or selective estrogen receptors modulators or aromatase inhibitors. Their principal characteristics are reviewed through recent data. Prevention of breast cancer is a pertinent question and major publications are presented. Finally, the controversy about the possible reintroduction of replacement hormonal therapy after breast cancer will be questioned through trials."
Decision-making for bilateral risk-reducing mastectomy for an increased lifetime breast cancer risk: A qualitative metasynthesis.,"Torrisi, Wareg, Anbari","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/38429973/,"For women with a genetic mutation that increases their predisposition for a breast cancer diagnosis, bilateral risk-reducing mastectomy (BRRM) is the most effective prevention strategy. However, BRRM can change a woman's breast appearance and function.","Previvor is a term applied to a person with an identified, elevated lifetime cancer risk but without an actual cancer diagnosis. Previvorship entails the selection of risk management strategies. For women with a genetic mutation that increases their predisposition for a breast cancer diagnosis, bilateral risk-reducing mastectomy (BRRM) is the most effective prevention strategy. However, BRRM can change a woman's breast appearance and function. The purpose of this qualitative metasynthesis (QMS) was to better understand the decision-making process for BRRM among previvors. A theory-generating QMS approach was used to analyze and synthesize qualitative findings. Research reports were considered for inclusion if: (1) women over 18 years of age possessed a genetic mutation increasing lifetime breast cancer risk or a strong family history of breast cancer; (2) the sample was considering, or had completed, BRRM; (3) the results reported qualitative findings. Exclusion criteria were male gender, personal history of breast cancer, and research reports which did not separate findings based on cancer diagnosis and/or risk-reduction surgery. A theory and corresponding model emerged, comprised of seven themes addressing the decision-making process for or against BRRM. While some factors to decision-making were decisive for surgery, others were more indefinite and contributed to women changing, processing, or suspending their decision-making for a period of time. Regardless of the decision previvors make about BRRM, physical and psychosocial well-being should be considered and promoted through shared decision-making in the clinical setting."
[Third French Cancer Plan: Six years at the service of the French people].,"Jullian, Cvetojevic","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/33358509/,"The implementation of the third Cancer Plan, which began in January 2014, was completed in 2019. With nearly 90% of the actions carried out, this Plan was marked by the collective mobilisation of all stakeholders to reduce the burden of cancer.","The implementation of the third Cancer Plan, which began in January 2014, was completed in 2019. With nearly 90% of the actions carried out, this Plan was marked by the collective mobilisation of all stakeholders to reduce the burden of cancer in our country. Real successes have been recorded. But the progress made must not make us forget the pain and suffering endured by those affected by this disease, their families, loved ones and caregivers. Cancer continues to be a life-changing experience for those who face it. In this fight, progress in medicine, research, the quality and safety of care, progress in social support, support in returning to work and to a normal life are all hopes for all patients and their loved ones. They have only been possible thanks to the mobilisation of everyone and the dedication of the care teams. Many battles have been fought over the years and the results obtained are the best encouragement to continue the efforts. We must now amplify and improve our collective action. The ambitious objective of massively reducing the burden of cancer in the lives of the French must mobilise us all for the next decade."
