Title,Link,ArticleType,Abstract,SupplementaryDatasets
High density lipoproteins and oxidative stress in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8543840,Review,"Breast cancer is one of the main leading causes of women death. In recent years, attention has been focused on the role of lipoproteins, alterations of cholesterol metabolism and oxidative stress in the molecular mechanism of breast cancer. A role for high density lipoproteins (HDL) has been proposed, in fact, in addition to the role of reverse cholesterol transport (RCT), HDL exert antioxidant and anti-inflammatory properties, modulate intracellular cholesterol homeostasis, signal transduction and proliferation. Low levels of HDL-Cholesterol (HDL-C) have been demonstrated in patients affected by breast cancer and it has been suggested that low levels of HDL-C could represent a risk factor of breast cancer. Contrasting results have been observed by other authors. Recent studies have demonstrated alterations of the activity of some enzymes associated to HDL surface such as Paraoxonase (PON1), Lecithin-Cholesterol Acyltransferase (LCAT) and Phospholipase A2 (PLA2). Higher levels of markers of lipid peroxidation in plasma or serum of patients have also been observed and suggest dysfunctional HDL in breast cancer patients. The review summarizes results on levels of markers of oxidative stress of plasma lipids and on alterations of enzymes associated to HDL in patients affected by breast cancer. The effects of normal and dysfunctional HDL on human breast cancer cells and molecular mechanisms potentially involved will be also reviewed.",
Visualization of breast cancer-related protein synthesis from the perspective of bibliometric analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10605986,Research,"Breast cancer, as a daunting global health threat, has driven an exponential growth in related research activity in recent decades. An area of research of paramount importance is protein synthesis, and the analysis of specific proteins inextricably linked to breast cancer. In this article, we undertake a bibliometric analysis of the literature on breast cancer and protein synthesis, aiming to provide crucial insights into this esoteric realm of investigation. Our approach was to scour the Web of Science database, between 2003 and 2022, for articles containing the keywords “breast cancer” and “protein synthesis” in their title, abstract, or keywords. We deployed bibliometric analysis software, exploring a range of measures such as publication output, citation counts, co-citation analysis, and keyword analysis. Our search yielded 2998 articles that met our inclusion criteria. The number of publications in this area has steadily increased, with a significant rise observed after 2003. Most of the articles were published in oncology or biology-related journals, with the most publications in Journal of Biological Chemistry, Cancer Research, Proceedings of the National Academy of Sciences of the United States of America, and Oncogene. Keyword analysis revealed that “breast cancer,” “expression,” “cancer,” “protein,” and “translation” were the most commonly researched topics. In conclusion, our bibliometric analysis of breast cancer and related protein synthesis literature underscores the burgeoning interest in this research. The focus of the research is primarily on the relationship between protein expression in breast cancer and the development and treatment of tumors. These studies have been instrumental in the diagnosis and treatment of breast cancer. Sustained research in this area will yield essential insights into the biology of breast cancer and the genesis of cutting-edge therapies.",
Involvement of NRF2 in Breast Cancer and Possible Therapeutical Role of Polyphenols and Melatonin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8038098,Review,"Oxidative stress is defined as a disturbance in the prooxidant/antioxidant balance in favor of the former and a loss of control over redox signaling processes, leading to potential biomolecular damage. It is involved in the etiology of many diseases, varying from diabetes to neurodegenerative diseases and cancer. Nuclear factor erythroid 2-related factor 2 (NRF2) is a transcription factor and reported as one of the most important oxidative stress regulators. Due to its regulatory role in the expression of numerous cytoprotective genes involved in the antioxidant and anti-inflammatory responses, the modulation of NRF2 seems to be a promising approach in the prevention and treatment of cancer. Breast cancer is the prevalent type of tumor in women and is the leading cause of death among female cancers. Oxidative stress-related mechanisms are known to be involved in breast cancer, and therefore, NRF2 is considered to be beneficial in its prevention. However, its overactivation may lead to a negative clinical impact on breast cancer therapy by causing chemoresistance. Some known “oxidative stress modulators”, such as melatonin and polyphenols, are suggested to play an important role in the prevention and treatment of cancer, where the activation of NRF2 is reported as a possible underlying mechanism. In the present review, the potential involvement of oxidative stress and NRF2 in breast cancer will be reviewed, and the role of the NRF2 modulators—namely, polyphenols and melatonin—in the treatment of breast cancer will be discussed.",
Activation of the hypoxia pathway in breast cancer tissue and patient survival are inversely associated with tumor ascorbate levels,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6448303,Research Article,,
Chemotherapy induces ACE2 expression in breast cancer via the ROS-AKT-HIF-1α signaling pathway: a potential prognostic marker for breast cancer patients receiving chemotherapy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9636712,Research,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9636712/bin/12967_2022_3716_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9636712/bin/12967_2022_3716_MOESM2_ESM.tif"
Spotlight on Exosomal Non-Coding RNAs in Breast Cancer: An In Silico Analysis to Identify Potential lncRNA/circRNA-miRNA-Target Axis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9369058,Review,"Breast cancer (BC) has recently become the most common cancer type worldwide, with metastatic disease being the main reason for disease mortality. This has brought about strategies for early detection, especially the utilization of minimally invasive biomarkers found in various bodily fluids. Exosomes have been proposed as novel extracellular vesicles, readily detectable in bodily fluids, secreted from BC-cells or BC-tumor microenvironment cells, and capable of conferring cellular signals over long distances via various cargo molecules. This cargo is composed of different biomolecules, among which are the novel non-coding genome products, such as microRNAs (miRNAs), long non-coding RNAs (lncRNAs), and the recently discovered circular RNA (circRNA), all of which were found to be implicated in BC pathology. In this review, the diverse roles of the ncRNA cargo of BC-derived exosomes will be discussed, shedding light on their primarily oncogenic and additionally tumor suppressor roles at different levels of BC tumor progression, and drug sensitivity/resistance, along with presenting their diagnostic, prognostic, and predictive biomarker potential. Finally, benefiting from the miRNA sponging mechanism of action of lncRNAs and circRNAs, we established an experimentally validated breast cancer exosomal non-coding RNAs-regulated target gene axis from already published exosomal ncRNAs in BC. The resulting genes, pathways, gene ontology (GO) terms, and Kyoto Encyclopedia of Genes and Genomes (KEGG) analysis could be a starting point to better understand BC and may pave the way for the development of novel diagnostic and prognostic biomarkers and therapeutics.",
Mammary stem cells and progenitors: targeting the roots of breast cancer for prevention,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6627238,Review,"Breast cancer prevention is daunting, yet not an unsurmountable goal. Mammary stem and progenitors have been proposed as the cells‐of‐origin in breast cancer. Here, we present the concept of limiting these breast cancer precursors as a risk reduction approach in high‐risk women. A wealth of information now exists for phenotypic and functional characterization of mammary stem and progenitor cells in mouse and human. Recent work has also revealed the hormonal regulation of stem/progenitor dynamics as well as intrinsic lineage distinctions between mammary epithelial populations. Leveraging these insights, molecular marker‐guided chemoprevention is an achievable reality.",
"Increased expression of glutamine transporter SNAT2/SLC38A2 promotes glutamine dependence and oxidative stress resistance, and is associated with worse prognosis in triple-negative breast cancer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7852531,Article,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7852531/bin/41416_2020_1113_MOESM1_ESM.pdf
Unconventional protein post-translational modifications: the helmsmen in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8881842,Review,"Breast cancer is the most prevalent malignant tumor and a leading cause of mortality among females worldwide. The tumorigenesis and progression of breast cancer involve complex pathophysiological processes, which may be mediated by post-translational modifications (PTMs) of proteins, stimulated by various genes and signaling pathways. Studies into PTMs have long been dominated by the investigation of protein phosphorylation and histone epigenetic modifications. However, with great advances in proteomic techniques, several other PTMs, such as acetylation, glycosylation, sumoylation, methylation, ubiquitination, citrullination, and palmitoylation have been confirmed in breast cancer. Nevertheless, the mechanisms, effects, and inhibitors of these unconventional PTMs (particularly, the non-histone modifications other than phosphorylation) received comparatively little attention. Therefore, in this review, we illustrate the functions of these PTMs and highlight their impact on the oncogenesis and progression of breast cancer. Identification of novel potential therapeutic drugs targeting PTMs and development of biological markers for the detection of breast cancer would be significantly valuable for the efficient selection of therapeutic regimens and prediction of disease prognosis in patients with breast cancer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8881842/bin/13578_2022_756_MOESM1_ESM.docx
Targeting Breast Cancer Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9830502,Review,"The potential roles of breast cancer stem cells (BCSCs) in tumor initiation and recurrence have been recognized for many decades. Due to their strong capacity for self-renewal and differentiation, BCSCs are the major reasons for poor clinical outcomes and low therapeutic response. Several hypotheses on the origin of cancer stem cells have been proposed, including critical gene mutations in stem cells, dedifferentiation of somatic cells, and cell plasticity remodeling by epithelial-mesenchymal transition (EMT) and the tumor microenvironment. Moreover, the tumor microenvironment, including cellular components and cytokines, modulates the self-renewal and therapeutic resistance of BCSCs. Small molecules, antibodies, and chimeric antigen receptor (CAR)-T cells targeting BCSCs have been developed, and their applications in combination with conventional therapies are undergoing clinical trials. In this review, we focus on the features of BCSCs, emphasize the major factors and tumor environment that regulate the stemness of BCSCs, and discuss potential BCSC-targeting therapies.",
Applications of Circulating Tumor Cells and Circulating Tumor DNA in Precision Oncology for Breast Cancers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9315812,Review,"Liquid biopsies allow for the detection of cancer biomarkers such as circulating tumor cells (CTCs) and circulating tumor DNA (ctDNA). Elevated levels of these biomarkers during cancer treatment could potentially serve as indicators of cancer progression and shed light on the mechanisms of metastasis and therapy resistance. Thus, liquid biopsies serve as tools for cancer detection and monitoring through a simple, non-invasive blood draw, allowing multiple longitudinal sampling. These circulating markers have significant prospects for use in assessing patients’ prognosis, monitoring response to therapy, and developing precision medicine. In addition, single-cell omics of these liquid biopsy markers can be potential tools for identifying tumor heterogeneity and plasticity as well as novel therapeutic targets. In this review, we focus on our current understanding of circulating tumor biomarkers, especially in breast cancer, and the scope of novel sequencing technologies and diagnostic methods for better prognostication and patient stratification to improve patient outcomes.",
Targeting Peroxisome Proliferator-Activated Receptor ? to Increase Estrogen-Induced Apoptosis in Estrogen-Deprived Breast Cancer Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6279501,Article,"Peroxisome proliferator-activated receptor γ (PPARγ) is an important transcription factor that modulates lipid metabolism and inflammation. However, it remains unclear whether PPARγ is involved in modulation of estrogen (E",
"Blood and Tissue Enzymatic Activities of GDH and LDH, Index of Glutathione, and Oxidative Stress among Breast Cancer Patients Attending Referral Hospitals of Addis Ababa, Ethiopia: Hospital-Based Comparative Cross-Sectional Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5892235,Research Article,"The exact cause of breast cancer is unknown; it is a multifactorial disease. It is the most diagnosed and the second killer cancer among women. Breast cancer can be originated from tissues of breast or secondary from other organs via metastasis. Generally, cancer cells show aberrant metabolism and oxidative stress when compared to noncancerous tissues of breast cancer patients. The current study aims at evaluating glutamate and glucose metabolism through GDH and LDH enzyme activities, oxidant, and antioxidative status among breast cancer patients attending referral hospitals of Addis Ababa, Ethiopia.",
Cancer‐associated fibroblasts in breast cancer: Challenges and opportunities,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9118050,Review,"The tumor microenvironment is proposed to contribute substantially to the progression of cancers, including breast cancer. Cancer‐associated fibroblasts (CAFs) are the most abundant components of the tumor microenvironment. Studies have revealed that CAFs in breast cancer originate from several types of cells and promote breast cancer malignancy by secreting factors, generating exosomes, releasing nutrients, reshaping the extracellular matrix, and suppressing the function of immune cells. CAFs are also becoming therapeutic targets for breast cancer due to their specific distribution in tumors and their unique biomarkers. Agents interrupting the effect of CAFs on surrounding cells have been developed and applied in clinical trials. Here, we reviewed studies examining the heterogeneity of CAFs in breast cancer and expression patterns of CAF markers in different subtypes of breast cancer. We hope that summarizing CAF‐related studies from a historical perspective will help to accelerate the development of CAF‐targeted therapeutic strategies for breast cancer.",
Targeting HMGB1: An available Therapeutic Strategy for Breast Cancer Therapy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9134916,Review,"HMGB1 is a member of highly conserved high mobility group protein superfamily with intracellular and extracellular distribution. Abnormal HMGB1 levels are frequently manifested in various malignant diseases, including breast cancer. Numerous studies have revealed the clinical value of HMGB1 in the diagnosis and therapy of breast cancer. However, the dual function of pro- and anti-tumor makes HMGB1 in cancer progression requires more profound understanding. This review summarizes the functions and mechanisms of HMGB1 on regulating breast cancer, including autophagy, immunogenic cell death, and interaction with the tumor microenvironment. These functions determine the strategies for the development of chemotherapy, radiotherapy, immunotherapy and combination therapies by targeting HMGB1 in breast cancer. Defining the mechanisms of HMGB1 on regulating breast cancer development and progression will facilitate the application of HMGB1 as a therapeutic target for breast cancer.",
Prolactin and endocrine therapy resistance in breast cancer: The next potential hope for breast cancer treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8581311,Review,"Breast cancer, a hormone‐dependent tumour, generally includes four molecular subtypes (luminal A, luminal B, HER2 enriched and triple‐negative) based on oestrogen receptor, progesterone receptor and human epidermal growth factor receptor‐2. Multiple hormones in the body regulate the development of breast cancer. Endocrine therapy is one of the primary treatments for hormone‐receptor‐positive breast cancer, but endocrine resistance is the primary clinical cause of treatment failure. Prolactin (PRL) is a protein hormone secreted by the pituitary gland, mainly promoting mammary gland growth, stimulating and maintaining lactation. Previous studies suggest that high PRL levels can increase the risk of invasive breast cancer in women. The expression levels of PRL and PRLR in breast cancer cells and breast cancer tissues are elevated in most ER",
Vitamin D as a Potential Preventive Agent For Young Women's Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8937000,Review,"Clinical studies backed by research in animal models suggest that vitamin D may protect against the development of breast cancer, implicating vitamin D as a promising candidate for breast cancer prevention. However, despite clear preclinical evidence showing protective roles for vitamin D, broadly targeted clinical trials of vitamin D supplementation have yielded conflicting findings, highlighting the complexity of translating preclinical data to efficacy in humans. While vitamin D supplementation targeted to high-risk populations is a strategy anticipated to increase prevention efficacy, a complimentary approach is to target transient, developmental windows of elevated breast cancer risk. Postpartum mammary gland involution represents a developmental window of increased breast cancer promotion that may be poised for vitamin D supplementation. Targeting the window of involution with short-term vitamin D intervention may offer a simple, cost-effective approach for the prevention of breast cancers that develop postpartum. In this review, we highlight epidemiologic and preclinical studies linking vitamin D deficiency with breast cancer development. We discuss the underlying mechanisms through which vitamin D deficiency contributes to cancer development, with an emphasis on the anti-inflammatory activity of vitamin D. We also discuss current evidence for vitamin D as an immunotherapeutic agent and the potential for vitamin D as a preventative strategy for young woman's breast cancer.",
STAT1 potentiates oxidative stress revealing a targetable vulnerability that increases phenformin efficacy in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605,Article,"Bioenergetic perturbations driving neoplastic growth increase the production of reactive oxygen species (ROS), requiring a compensatory increase in ROS scavengers to limit oxidative stress. Intervention strategies that simultaneously induce energetic and oxidative stress therefore have therapeutic potential. Phenformin is a mitochondrial complex I inhibitor that induces bioenergetic stress. We now demonstrate that inflammatory mediators, including IFNγ and polyIC, potentiate the cytotoxicity of phenformin by inducing a parallel increase in oxidative stress through STAT1-dependent mechanisms. Indeed, STAT1 signaling downregulates NQO1, a key ROS scavenger, in many breast cancer models. Moreover, genetic ablation or pharmacological inhibition of NQO1 using β-lapachone (an NQO1 bioactivatable drug) increases oxidative stress to selectively sensitize breast cancer models, including patient derived xenografts of HER2+ and triple negative disease, to the tumoricidal effects of phenformin. We provide evidence that therapies targeting ROS scavengers increase the anti-neoplastic efficacy of mitochondrial complex I inhibitors in breast cancer.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM3_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM4_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM5_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM6_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM7_ESM.pdf"
The sirtuin family in health and disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9797940,Review Article,"Sirtuins (SIRTs) are nicotine adenine dinucleotide(+)-dependent histone deacetylases regulating critical signaling pathways in prokaryotes and eukaryotes, and are involved in numerous biological processes. Currently, seven mammalian homologs of yeast Sir2 named SIRT1 to SIRT7 have been identified. Increasing evidence has suggested the vital roles of seven members of the SIRT family in health and disease conditions. Notably, this protein family plays a variety of important roles in cellular biology such as inflammation, metabolism, oxidative stress, and apoptosis, etc., thus, it is considered a potential therapeutic target for different kinds of pathologies including cancer, cardiovascular disease, respiratory disease, and other conditions. Moreover, identification of SIRT modulators and exploring the functions of these different modulators have prompted increased efforts to discover new small molecules, which can modify SIRT activity. Furthermore, several randomized controlled trials have indicated that different interventions might affect the expression of SIRT protein in human samples, and supplementation of SIRT modulators might have diverse impact on physiological function in different participants. In this review, we introduce the history and structure of the SIRT protein family, discuss the molecular mechanisms and biological functions of seven members of the SIRT protein family, elaborate on the regulatory roles of SIRTs in human disease, summarize SIRT inhibitors and activators, and review related clinical studies.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9797940/bin/41392_2022_1257_MOESM1_ESM.docx
Genome-wide association study of germline variants and breast cancer-specific mortality,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853,Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM2_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM3_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM4_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM5_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM6_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM7_ESM.txt"
"Cancer-Associated Exosomal CBFB Facilitates the Aggressive Phenotype, Evasion of Oxidative Stress, and Preferential Predisposition to Bone Prometastatic Factor of Breast Cancer Progression",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9325341,Research Article,,
Involvement of glutathione peroxidases in the occurrence and development of breast cancers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7309991,Review,"Glutathione peroxidases (GPxs) belong to a family of enzymes that is important in organisms; these enzymes promote hydrogen peroxide metabolism and protect cell membrane structure and function from oxidative damage. Based on the establishment and development of the theory of the pathological roles of free radicals, the role of GPxs has gradually attracted researchers’ attention, and the involvement of GPxs in the occurrence and development of malignant tumors has been shown. On the other hand, the incidence of breast cancer in increasing, and breast cancer has become the leading cause of cancer-related death in females worldwide; breast cancer is thought to be related to the increased production of reactive oxygen species, indicating the involvement of GPxs in these processes. Therefore, this article focused on the molecular mechanism and function of GPxs in the occurrence and development of breast cancer to understand their role in breast cancer and to provide a new theoretical basis for the treatment of breast cancer.",
Emerging Intrinsic Therapeutic Targets for Metastatic Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10215321,Review,,
